Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1996-03-22,5.673167383229291,5.673167383229291,5.621119976043701,5.621119976043701,13800,0.0,0.0,0.0
1996-03-29,5.621121251305868,5.647144960802654,5.595097541809082,5.595097541809082,3500,0.0,0.0,0.0
1996-04-05,5.699194136852492,5.725217854372367,5.647146701812744,5.647146701812744,26500,0.0,0.0,0.0
1996-04-12,5.595096272450906,5.621119976043701,5.595096272450906,5.621119976043701,1500,0.0,0.0,0.0
1996-04-19,5.543049019073772,5.569072723388672,5.543049019073772,5.569072723388672,3600,0.0,0.0,0.0
1996-04-26,5.464978218078613,5.543049335479736,5.464978218078613,5.543049335479736,30300,0.0,0.0,0.0
1996-05-03,5.517025629679361,5.56907304128011,5.517025629679361,5.543049335479736,72400,0.0,0.0,0.0
1996-05-10,5.621122984292869,5.647146701812744,5.621122984292869,5.647146701812744,3000,0.0,0.0,0.0
1996-05-17,5.673169136047363,5.673169136047363,5.673169136047363,5.673169136047363,5700,0.0,0.0,0.0
1996-05-24,5.751239776611328,5.751239776611328,5.725216067214896,5.751239776611328,8700,0.0,0.0,0.0
1996-05-31,5.803287830438699,5.803287830438699,5.75124040595046,5.77726411819458,13200,0.0,0.0,0.0
1996-06-07,5.673169269218101,5.77726411819458,5.673169269218101,5.77726411819458,1100,0.0,0.0,0.0
1996-06-14,5.543048865265316,5.621119976043701,5.543048865265316,5.621119976043701,2700,0.0,0.0,0.0
1996-06-21,5.647146701812744,5.647146701812744,5.647146701812744,5.647146701812744,4300,0.0,0.0,0.0
1996-06-28,5.699193000793457,5.699193000793457,5.699193000793457,5.699193000793457,14000,0.0,0.0,0.0
1996-07-05,5.595097541809082,5.621121251305868,5.595097541809082,5.595097541809082,4800,0.0,0.0,0.0
1996-07-12,5.41292908293376,5.491000175476074,5.41292908293376,5.491000175476074,1300,0.0,0.0,0.0
1996-07-19,5.517025470733643,5.517025470733643,5.517025470733643,5.517025470733643,4000,0.0,0.0,0.0
1996-07-26,5.360884512924566,5.360884512924566,5.334860801696777,5.334860801696777,300,0.0,0.0,0.0
1996-08-02,5.543050122815509,5.595097541809082,5.543050122815509,5.595097541809082,12000,0.0,0.0,0.0
1996-08-09,5.517025470733643,5.517025470733643,5.517025470733643,5.517025470733643,0,0.0,0.0,0.0
1996-08-16,5.46497917175293,5.46497917175293,5.46497917175293,5.46497917175293,500,0.0,0.0,0.0
1996-08-23,5.673169136047363,5.673169136047363,5.673169136047363,5.673169136047363,500,0.0,0.0,0.0
1996-08-30,5.492751121520996,5.492751121520996,5.492751121520996,5.492751121520996,500,0.0,0.0,0.0
1996-09-06,5.413532983689081,5.545570373535156,5.413532983689081,5.545570373535156,1100,0.0,0.0,0.0
1996-09-13,5.677604929164604,5.704012393951416,5.677604929164604,5.704012393951416,600,0.0,0.0,0.0
1996-09-20,5.677604959645403,5.756827354431152,5.677604959645403,5.756827354431152,1300,0.0,0.0,0.0
1996-09-27,5.756827354431152,5.756827354431152,5.756827354431152,5.756827354431152,0,0.0,0.0,0.0
1996-10-04,5.8624570846557615,5.94167947769165,5.836049620310465,5.94167947769165,10700,0.0,0.0,0.0
1996-10-11,6.020903131236201,6.073718070983887,6.020903131236201,6.073718070983887,300,0.0,0.0,0.0
1996-10-18,6.179345085703094,6.179345085703094,6.126530170440674,6.126530170440674,1500,0.0,0.0,0.0
1996-10-25,6.020900082278562,6.100122451782227,6.020900082278562,6.100122451782227,23300,0.0,0.0,0.0
1996-11-01,6.15294075012207,6.15294075012207,6.15294075012207,6.15294075012207,100,0.0,0.0,0.0
